# From Table 4 in Galluci, V., Taylor, I., King, J., McFarlane, G., and McPhie, R. 2011. Spiny Dogfish (Squalus acanthias) Assessment and Catch Recommendations for 2010. DFO Can. Sci. Advis. Sec. Res. Doc. 2011/034. xii +
# Table 4 Annual landings (tonnes) of spiny dogfish in trawl fisheries 1966-2008 by Statistical Area.
Year,4B,3CD,5AB,5CDE,Total,Unknown area,Total landings
1966,163,  , , , , ,163
1967,56,  , , , , ,56
1968,29,  , , , , ,29
1969,1,  , , , , ,1
1970,130,4, , ,4, ,134
1971,118,  , , , , ,118
1972,76,8, , ,8, ,84
1973,1251,  ,2,711,714, ,1965
1974,307,12, , ,13, ,320
1975,447,17, ,1,19, ,466
1976,82,  , ,3,3, ,85
1977,658,67,13, ,80, ,738
1978,722,163,28,30,221, ,943
1979,4335,300,16,104,419, ,4755
1980,2105,1873,162,405,2440, ,4545
1981,764,311,25,51,387, ,1151
1982,1259,973,69,277,1320, ,2578
1983,1271,597,24,19,641, ,1911
1984,1894,458,107,88,653, ,2547
1985,862,1499,451,7,1958, ,2820
1986,480,1935,178,22,2135, ,2615
1987,368,1001,67,3,1072, ,1440
1988,221,1660,86,2,1748, ,1969
1989,152,842,30,3,875, ,1027
1990,109,1249,24,9,1282, ,1391
1991,103,889,28, ,917, ,1020
1992,110,439,4,25,468, ,577
1993,19,68, , ,68, ,88
1994,49,123,8,8,138, ,188
1995,111,197,17,5,219, ,330
1996,152,225,1,11,237,80,468
1997,69,18,10, ,29,174,273
1998,5,144,1,23,169,86,261
1999,103,37,3,1,41,216,360
2000,49,93,1,1,96,16,161
2001,22,341,2,4,346,93,460
2002,16,522,39,1,562,140,718
2003,33,624,76,1,701,51,785
2004,71,373, ,2,375,165,611
2005,22,710,8,4,723,274,1018
2006,10,531,9,3,543,106,659
2007,13,438,5,3,446,56,515
2008,9,248,1,2,252,128,389
