# Galluci, V., Taylor, I., King, J., McFarlane, G., and McPhie, R. 2011. Spiny Dogfish (Squalus acanthias) Assessment and Catch Recommendations for 2010. DFO Can. Sci. Advis. Sec. Res. Doc. 2011/034. xii + 69 p.
# Table 6. Annual discards (tonnes) of spiny dogfish in trawl fisheries 1966-2008 by Statistical Area.
Year,4B,3CD,5AB,5CDE,Total,Total discards
1966,3,87,2,163,251,255
1967,114,137, ,200,337,452
1968,56,42,14,42,97,153
1969,147,23, ,55,78,225
1970,80,17,18,161,197,277
1971,240,50,2,236,288,528
1972,1,13,18,14,45,47
1973, ,254,80,33,368,368
1974,160,22,3,68,94,254
1975,149,567, ,832,1399,1548
1976, , , , , ,
1977,116,299,9,929,1236,1353
1978,174,352,159,815,1325,1500
1979,322,543,171,601,1316,1638
1980,285,772,296,1122,2190,2475
1981,172,472,331,669,1472,1644
1982,69,706,286,841,1834,1902
1983,8,419,241,377,1037,1045
1984,6,418,73,580,1072,1078
1985,10,429,283,554,1266,1275
1986,34,153,215,319,687,721
1987,126,201,174,863,1239,1364
1988,71,305,260,745,1310,1381
1989,79,449,100,728,1277,1356
1990,39,432,362,883,1677,1717
1991,27,840,174,855,1869,1896
1992,98,805,328,765,1898,1995
1993,42,517,287,793,1597,1639
1994,56,529,272,662,1463,1518
1995,29,335,238,357,931,960
1996,64,609,407,648,1663,1727
1997,1,264,365,472,1101,1102
1998,24,359,516,687,1562,1586
1999,3,251,182,515,948,951
2000,7,313,392,426,1131,1138
2001,12,193,239,397,828,840
2002,13,249,330,291,869,883
2003,22,146,142,499,787,809
2004,70,185,256,737,1178,1248
2005,114,100,183,956,1239,1354
2006,165,102,197,507,807,971
2007,190,78,149,729,956,1146
2008,97,69,81,745,894,991
